##################
# 500 epochs
##################

NeurASP/examples/shortest_path$ python train.py 
Neural Network (MLP) Structure: (40, 50, 50, 50, 50, 50, 24)
Acc:	train	test
Acc:	0.00	0.00
Acc:	0.00	0.00
Acc:	1.55	1.86
Acc:	2.10	2.48
Acc:	8.85	8.07
Acc:	13.35	11.80
Acc:	16.77	13.35
Acc:	18.17	18.01
Acc:	23.21	21.12
Acc:	29.11	24.84
Acc:	28.57	26.71
Acc:	17.70	16.77
Acc:	32.53	27.64
Acc:	33.46	29.81
Acc:	35.48	31.37
Acc:	37.11	34.47
Acc:	38.28	36.02
Acc:	34.39	32.61
Acc:	36.34	34.78
Acc:	39.52	37.58
Acc:	40.37	38.51
Acc:	40.99	37.89
Acc:	41.54	39.13
Acc:	40.06	37.89
Acc:	41.30	38.51
Acc:	40.99	38.82
Acc:	40.61	38.51
Acc:	32.07	29.50
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	36.41	32.92
Acc:	41.23	38.82
Acc:	32.92	33.23
Acc:	41.54	38.82
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	6.37	6.21
Acc:	39.29	35.71
Acc:	28.88	30.12
Acc:	39.67	36.96
Acc:	40.92	36.96
Acc:	35.71	32.92
Acc:	40.99	38.82
Acc:	41.46	39.13
Acc:	40.84	37.27
Acc:	40.84	38.51
Acc:	40.76	37.89
Acc:	41.46	39.13
Acc:	40.30	37.58
Acc:	41.30	38.20
Acc:	41.46	38.82
Acc:	41.46	38.82
Acc:	41.46	38.82
Acc:	41.46	38.82
Acc:	41.46	38.82
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	41.46	39.13
Acc:	37.34	35.71
Acc:	41.46	39.13
Acc:	41.46	39.13
